以a为开头的单词总共有：1107个
art                 : 73
satisfy             : 1
save                : 1
saving              : 1
sayings             : 1
scales              : 1
scaring             : 1
scene               : 1
sceptical           : 1
scheme              : 1
scold               : 1
scolding            : 1
scorching           : 1
scorn               : 1
scourged            : 1
sculpture           : 1
scythians           : 1
searching           : 1
seasoning           : 1
seated              : 1
secret              : 1
secretly            : 1
secure              : 1
sedition            : 1
seduced             : 1
seemingly           : 1
seer                : 1
selling             : 1
semblance           : 1
semicircle          : 1
sends               : 1
sentence            : 1
sentiment           : 1
separate            : 1
sepulture           : 1
serf                : 1
seriphian           : 1
serviceable         : 1
sets                : 1
settled             : 1
settling            : 1
severe              : 1
severer             : 1
shadowy             : 1
shafts              : 1
shame               : 1
shape               : 1
shapes              : 1
sharers             : 1
sharing             : 1
sharp               : 1
shave               : 1
sheer               : 1
shine               : 1
shipwright          : 1
shod                : 1
shop                : 1
shore               : 1
shoulder            : 1
shower              : 1
shrewdly            : 1
shudder             : 1
shuffle             : 1
sicilian            : 1
siege               : 1
sieve               : 1
sighted             : 1
silently            : 1
sillybillies        : 1
simpler             : 1
singers             : 1
singly              : 1
singular            : 1
sinned              : 1
sins                : 1
sister              : 1
sisters             : 1
situation           : 1
size                : 1
sizes               : 1
slander             : 1
slaughtered         : 1
slays               : 1
sleepy              : 1
slew                : 1
slights             : 1
slip                : 1
slippery            : 1
slough              : 1
slower              : 1
smoke               : 1
smoothing           : 1
snake               : 1
snatches            : 1
snivel              : 1
soda                : 1
softened            : 1
softening           : 1
softer              : 1
soil                : 1
solved              : 1
solvents            : 1
sooty               : 1
sorrowful           : 1
sound               : 1
source              : 1
space               : 1
spectacle           : 1
spell               : 1
spercheius          : 1
spin                : 1
spite               : 1
spoils              : 1
spoilt              : 1
sprinkled           : 1
squalid             : 1
staff               : 1
stag                : 1
stake               : 1
standard            : 1
stands              : 1
start               : 1
starts              : 1
statesmen           : 1
statue              : 1
statues             : 1
stature             : 1
stay                : 1
stealers            : 1
stealing            : 1
steps               : 1
stern               : 1
sterner             : 1
stimulate           : 1
stirring            : 1
stones              : 1
stooping            : 1
stopped             : 1
store               : 1
storm               : 1
strains             : 1
strait              : 1
stranger            : 1
strenuously         : 1
stretching          : 1
strewn              : 1
stricter            : 1
strictest           : 1
strictly            : 1
string              : 1
strip               : 1
stripped            : 1
striving            : 1
student             : 1
studying            : 1
styx                : 1
subdued             : 1
subduing            : 1
subjection          : 1
sublime             : 1
submit              : 1
substantial         : 1
subtle              : 1
subversive          : 1
succeeded           : 1
successively        : 1
sucked              : 1
suckling            : 1
suddenly            : 1
sufferer            : 1
sufferers           : 1
suffrage            : 1
suggestion          : 1
suggestive          : 1
suicidal            : 1
suit                : 1
summit              : 1
sundry              : 1
superhuman          : 1
superintend         : 1
superintendence     : 1
superintendent      : 1
superiors           : 1
supper              : 1
supplementary       : 1
supplicating        : 1
supplies            : 1
supplying           : 1
support             : 1
supporters          : 1
suppress            : 1
surrender           : 1
surround            : 1
survive             : 1
suspicious          : 1
sustaining          : 1
swaddle             : 1
swallowed           : 1
swathe              : 1
sway                : 1
sweetly             : 1
sweets              : 1
swell               : 1
swift               : 1
swifter             : 1
swiftness           : 1
swimming            : 1
swindlers           : 1
swineherds          : 1
sympathy            : 1
symphony            : 1
syracusan           : 1

以t为开头的单词总共有：769个
true                : 195
time                : 50
thrasymachus        : 49
truth               : 38
temperance          : 24
told                : 20
tales               : 13
thinking            : 13
thirst              : 13
times               : 13
termed              : 12
term                : 11
trained             : 11
tale                : 10
training            : 10
telling             : 9
temperate           : 9
takes               : 8
trouble             : 8
taste               : 6
teach               : 6
trader              : 6
tragedy             : 6
task                : 5
tells               : 5
terrible            : 5
theft               : 5
thirsty             : 5
trial               : 5
talking             : 4
taught              : 4
terms               : 4
tools               : 4
treated             : 4
tables              : 3
talk                : 3
temper              : 3
temples             : 3
thieves             : 3
troy                : 3
table               : 2
teachers            : 2
tellers             : 2
tendency            : 2
tender              : 2
test                : 2
testimony           : 2
theme               : 2
theology            : 2
thetis              : 2
thief               : 2
thracians           : 2
threshold           : 2
throw               : 2
thunder             : 2
timaeus             : 2
toils               : 2
tops                : 2
touching            : 2
tower               : 2
track               : 2
traders             : 2
tradition           : 2
tragedians          : 2
tragic              : 2
trainer             : 2
trait               : 2
transform           : 2
triumph             : 2
trochaic            : 2
trojan              : 2
truest              : 2
tutors              : 2
twin                : 2
type                : 2
tyrants             : 2
tasks               : 1
tax                 : 1
teacher             : 1
tears               : 1
tedious             : 1
teller              : 1
tempered            : 1
tempers             : 1
tempt               : 1
tended              : 1
tenor               : 1
territory           : 1
terror              : 1
terrors             : 1
tetrachord          : 1
theban              : 1
thee                : 1
themis              : 1
themistocles        : 1
theory              : 1
theseus             : 1
thesis              : 1
thickly             : 1
thirdly             : 1
thirsts             : 1
thither             : 1
thoughtless         : 1
thracian            : 1
tightening          : 1
tighter             : 1
till                : 1
tillage             : 1
timid               : 1
tiresias            : 1
tirewomen           : 1
title               : 1
toil                : 1
toilsome            : 1
token               : 1
tolerate            : 1
tolerated           : 1
tolls               : 1
tomb                : 1
toned               : 1
torch               : 1
torches             : 1
torment             : 1
tormented           : 1
torrents            : 1
torturing           : 1
tossing             : 1
touch               : 1
traces              : 1
tracing             : 1
trade               : 1
traditional         : 1
trail               : 1
train               : 1
transformations     : 1
transgressed        : 1
transgresses        : 1
transgressions      : 1
transposition       : 1
travellers          : 1
treachery           : 1
treaties            : 1
treating            : 1
treatment           : 1
trebled             : 1
trees               : 1
trembling           : 1
trials              : 1
tribe               : 1
trifles             : 1
troops              : 1
troublesome         : 1
troubling           : 1
trumpets            : 1
trusting            : 1
tumbling            : 1
tumult              : 1
tuner               : 1
tutor               : 1
twelve              : 1
twofold             : 1
tyrannical          : 1
tyrannies           : 1
tyrannizes          : 1
tyranny             : 1

以u为开头的单词总共有：266个
unjust              : 79
understand          : 28
undoubtedly         : 7
useless             : 6
utterly             : 6
understanding       : 5
upwards             : 5
utter               : 5
unite               : 4
universal           : 4
utmost              : 4
unintentionally     : 3
unjustly            : 3
unlawful            : 3
unseen              : 3
untrue              : 3
unwilling           : 3
usual               : 3
ugliness            : 2
unbecoming          : 2
undetected          : 2
unerring            : 2
unhealthy           : 2
unholy              : 2
united              : 2
unity               : 2
unsuitable          : 2
unworthy            : 2
uranus              : 2
uttered             : 2
utters              : 2
ultimate            : 1
unable              : 1
unadulterated       : 1
unalterable         : 1
unanswerable        : 1
unattractive        : 1
unchangeable        : 1
uncivilized         : 1
unconquerable       : 1
unconsciously       : 1
uncontrolled        : 1
unconvinced         : 1
uncovered           : 1
undefended          : 1
undefiled           : 1
undergoes           : 1
undermined          : 1
understood          : 1
undertake           : 1
undetermined        : 1
unequal             : 1
unfit               : 1
unfitted            : 1
unfortunate         : 1
ungifted            : 1
ungraceful          : 1
ungrateful          : 1
unhappiness         : 1
unhappy             : 1
unimpaired          : 1
unimportant         : 1
uninformed          : 1
uninstructed        : 1
union               : 1
unlimited           : 1
unmingled           : 1
unmistakeable       : 1
unmixed             : 1
unmusical           : 1
unnatural           : 1
unobserved          : 1
unpoetical          : 1
unprincipled        : 1
unprocurable        : 1
unpunished          : 1
unreasoning         : 1
unreformed          : 1
unripe              : 1
unscathed           : 1
unscrupulous        : 1
unseasonable        : 1
unsightly           : 1
untainted           : 1
unusual             : 1
unwarlike           : 1
unwillingly         : 1
unwillingness       : 1
unwise              : 1
unworthiness        : 1
uphill              : 1
upper               : 1
upset               : 1
upside              : 1
upward              : 1
urged               : 1
uttermost           : 1

以v为开头的单词总共有：193个
virtue              : 44
view                : 24
vice                : 20
voice               : 9
virtues             : 8
virtuous            : 7
verse               : 6
verses              : 6
variance            : 4
verily              : 4
valiant             : 3
verbal              : 3
verified            : 3
violence            : 3
vision              : 3
voyage              : 3
valetudinarian      : 2
vicious             : 2
victims             : 2
views               : 2
villains            : 2
vine                : 2
violation           : 2
violent             : 2
vacant              : 1
valiantly           : 1
valued              : 1
vanished            : 1
variety             : 1
vassal              : 1
vaunting            : 1
vegetable           : 1
vehement            : 1
veins               : 1
vengeance           : 1
version             : 1
vestibule           : 1
vices               : 1
viciousness         : 1
victim              : 1
victorious          : 1
viewed              : 1
vigorously          : 1
vigour              : 1
violently           : 1
visit               : 1
vital               : 1
voices              : 1
votaries            : 1
vouchsafe           : 1
vow                 : 1

以w为开头的单词总共有：417个
women               : 37
wise                : 35
wisdom              : 23
war                 : 21
wealth              : 15
wrong               : 15
word                : 14
worse               : 14
weaker              : 12
woman               : 12
watch               : 7
wicked              : 6
wine                : 6
worst               : 6
warrior             : 5
wholly              : 5
wait                : 4
warriors            : 4
weakness            : 4
wild                : 4
willingly           : 4
wits                : 4
wives               : 4
worth               : 4
water               : 3
weak                : 3
weaver              : 3
winter              : 3
wisely              : 3
wisest              : 3
witness             : 3
wonderful           : 3
workman             : 3
wounded             : 3
writers             : 3
waiting             : 2
waking              : 2
walk                : 2
warm                : 2
washed              : 2
washing             : 2
waste               : 2
wearing             : 2
weaving             : 2
weeping             : 2
wheat               : 2
wheel               : 2
wherefore           : 2
white               : 2
wickedness          : 2
winds               : 2
wishing             : 2
wolves              : 2
wool                : 2
worthy              : 2
wound               : 2
written             : 2
wailing             : 1
wailings            : 1
wakeful             : 1
wall                : 1
wander              : 1
wantonness          : 1
warbling            : 1
ward                : 1
wards               : 1
warlike             : 1
wars                : 1
wasted              : 1
watchdogs           : 1
watched             : 1
watchfulness        : 1
watching            : 1
watchman            : 1
waters              : 1
wave                : 1
waxing              : 1
weakening           : 1
weakest             : 1
weakly              : 1
weapon              : 1
wear                : 1
weavers             : 1
weepings            : 1
weigh               : 1
weight              : 1
welcomes            : 1
wellnigh            : 1
wenching            : 1
wet                 : 1
wheels              : 1
whichever           : 1
whining             : 1
whisper             : 1
wholesale           : 1
wickednesses        : 1
wildness            : 1
willingness         : 1
wind                : 1
winecup             : 1
wing                : 1
wings               : 1
wipes               : 1
wiry                : 1
wiser               : 1
wishes              : 1
witchcraft          : 1
withdrawn           : 1
withy               : 1
woe                 : 1
womankind           : 1
womb                : 1
won                 : 1
wood                : 1
wooden              : 1
worker              : 1
workmen             : 1
worn                : 1
worry               : 1
worship             : 1
worshippers         : 1
wounds              : 1
wrath               : 1
wretched            : 1
wretches            : 1
wriggle             : 1
wrinkles            : 1
write               : 1
writes              : 1
wronged             : 1
wrongs              : 1
wroth               : 1

以x为开头的单词总共有：1个
xerxes              : 1

以y为开头的单词总共有：34个
youth               : 27
ye                  : 1
yearns              : 1
yesterday           : 1
yew                 : 1
yield               : 1
yielding            : 1
youths              : 1

以z为开头的单词总共有：13个
zeus                : 13


